SlideName	ScanName	ROILabel	SegmentLabel	SegmentDisplayName	Sample_ID	AOISurfaceArea	AOINucleiCount	ROICoordinateX	ROICoordinateY	RawReads	TrimmedReads	StitchedReads	AlignedReads	DeduplicatedReads	SequencingSaturation	UMIQ30	RTSQ30	disease_status	pathology	region	LOQ	NormalizationFactor	RoiReportX	RoiReportY
disease4	disease4_scan	10	Geometric Segment	disease4_scan | 010 | Geometric Segment	DSP-1001250007851-H-F04	42607.60882	189	38045	-51375	2636446	2610523	2587230	2471812	255288	90.31696458	0.9936	0.9925	DKD	healthy	glomerulus	17.97602465	1.077313092	7615	-11885
disease4	disease4_scan	18	Geometric Segment	disease4_scan | 018 | Geometric Segment	DSP-1001250007851-H-F12	29210.7994	107	26189	-10603	1681321	1667084	1654091	1586748	151572	90.98494577	0.9941	0.9933	DKD	abnormal	glomerulus	12.11333866	1.915223274	4648	-1695
normal3	normal3_scan	1	PanCK	normal3_scan | 001 | PanCK	DSP-1001250007864-D-A02	20265.55289	223	24658	-24538	3358935	3333329	3303955	3169018	419182	87.52038965	0.9949	0.9943	normal	NA	tubule	17.43449285	0.662961903	5808	-6101
normal3	normal3_scan	2	PanCK	normal3_scan | 002 | PanCK	DSP-1001250007864-D-A04	12966.08068	133	25404	-18258	1727404	1713003	1700055	1632358	240515	86.07650555	0.9942	0.9934	normal	NA	tubule	10.21522336	1.149133965	5980	-4528
normal3	normal3_scan	6	neg	normal3_scan | 006 | neg	DSP-1001250007864-D-B01	77969.64703	341	7360	-27919	7537862	7452728	7389902	7032210	604396	91.98186435	0.9927	0.9918	normal	NA	tubule	23.17780012	0.492485985	1467	-6939
normal3	normal3_scan	7	Geometric Segment	normal3_scan | 007 | Geometric Segment	DSP-1001250007864-D-B02	27983.32741	126	22237	-7048	4097634	4063835	4029758	3872474	340051	91.7012842	0.9944	0.9937	normal	healthy	glomerulus	18.04090668	0.861850473	5192	-1727
normal3	normal3_scan	10	Geometric Segment	normal3_scan | 010 | Geometric Segment	DSP-1001250007864-D-B05	24797.64544	145	28882	-5358	2865554	2844391	2822804	2715983	245838	91.42092594	0.9948	0.9941	normal	healthy	glomerulus	13.59801261	1.149133965	6855	-1302
normal3	normal3_scan	11	Geometric Segment	normal3_scan | 011 | Geometric Segment	DSP-1001250007864-D-B06	24350.45573	128	26335	-10453	3040227	3000284	2968560	2849333	257872	91.51800178	0.9924	0.9909	normal	healthy	glomerulus	12.60844093	1.077313092	6216	-2580
normal3	normal3_scan	14	Geometric Segment	normal3_scan | 014 | Geometric Segment	DSP-1001250007864-D-B09	23327.93897	127	26774	-13654	3155597	3129610	3100761	2978367	252057	92.01238308	0.9943	0.9935	normal	healthy	glomerulus	13.40983735	1.149133965	6330	-3380
normal3	normal3_scan	18	Geometric Segment	normal3_scan | 018 | Geometric Segment	DSP-1001250007864-D-C01	24417.75206	163	23524	-19162	3211778	3184987	3159387	3037285	276485	91.39152831	0.9942	0.9935	normal	healthy	glomerulus	18.85103911	1.013941733	5514	-4751
normal3	normal3_scan	20	Geometric Segment	normal3_scan | 020 | Geometric Segment	DSP-1001250007864-D-C03	31804.37058	175	20577	-23964	3030875	3009188	2986500	2877449	296405	90.22048088	0.9947	0.994	normal	healthy	glomerulus	18.40649691	0.957611637	4778	-5957
normal3	normal3_scan	21	Geometric Segment	normal3_scan | 021 | Geometric Segment	DSP-1001250007864-D-C04	35587.97311	183	18744	-26296	4664106	4626837	4586481	4399996	393561	91.5619199	0.9946	0.9939	normal	healthy	glomerulus	19.45619065	0.749435194	4309	-6535
normal3	normal3_scan	24	Geometric Segment	normal3_scan | 024 | Geometric Segment	DSP-1001250007864-D-C07	21787.38577	112	24321	-33123	2649969	2624965	2602427	2499388	224129	91.54220295	0.9937	0.9929	normal	healthy	glomerulus	15.2622229	1.231214962	5710	-8246
normal3	normal3_scan	25	Geometric Segment	normal3_scan | 025 | Geometric Segment	DSP-1001250007864-D-C08	27479.16984	144	23574	-32666	3523803	3493528	3464148	3327543	285901	91.88657822	0.9941	0.9933	normal	healthy	glomerulus	17.37372238	1.013941733	5525	-8129
normal3	normal3_scan	29	Geometric Segment	normal3_scan | 029 | Geometric Segment	DSP-1001250007864-D-C12	30810.90258	178	12081	-39509	1735299	1717667	1701400	1619704	152832	91.19275698	0.9937	0.993	normal	healthy	glomerulus	11.97026936	1.723700947	2654	-9846
normal3	normal3_scan	34	Geometric Segment	normal3_scan | 034 | Geometric Segment	DSP-1001250007864-D-D05	20978.53886	100	5394	-40134	2263322	2233114	2209935	2120052	190504	91.58299173	0.9924	0.9909	normal	healthy	glomerulus	17.1496075	1.436417456	981	-10003
normal3	normal3_scan	36	Geometric Segment	normal3_scan | 036 | Geometric Segment	DSP-1001250007864-D-D07	25689.60411	132	6596	-32735	3228035	3198747	3172733	3037700	225112	93.02634575	0.9939	0.9932	normal	healthy	glomerulus	15.31730411	1.231214962	1281	-8149
normal3	normal3_scan	40	Geometric Segment	normal3_scan | 040 | Geometric Segment	DSP-1001250007864-D-D11	20003.46841	100	5053	-33671	2169174	2150099	2130766	2036028	150244	93.07367689	0.9941	0.9934	normal	healthy	glomerulus	10.03756511	1.915223274	899	-8385
normal3	normal3_scan	44	Geometric Segment	normal3_scan | 044 | Geometric Segment	DSP-1001250007864-D-E03	30029.652	134	16222	-42524	2471902	2451010	2431557	2332324	221699	91.03123829	0.9941	0.9934	normal	healthy	glomerulus	13.86806737	1.231214962	3686	-10592
normal3	normal3_scan	49	Geometric Segment	normal3_scan | 049 | Geometric Segment	DSP-1001250007864-D-E08	28535.89961	166	17730	-28159	3990878	3961803	3931534	3767879	309531	92.24403753	0.9948	0.994	normal	abnormal	glomerulus	17.50212247	0.907211025	4061	-7004
normal3	normal3_scan	52	Geometric Segment	normal3_scan | 052 | Geometric Segment	DSP-1001250007864-D-E11	20066.08466	108	29158	-10334	1998257	1979844	1962285	1884985	164431	91.77127867	0.9938	0.9928	normal	healthy	glomerulus	9.558360488	1.723700947	6822	-2549
normal3	normal3_scan	53	Geometric Segment	normal3_scan | 053 | Geometric Segment	DSP-1001250007864-D-E12	23067.79108	104	23829	-6974	2253194	2235114	2213155	2122825	203898	90.95071263	0.9945	0.9938	normal	healthy	glomerulus	13.58681296	1.325923805	5589	-1705
normal4	normal4_scan	4	PanCK	normal4_scan | 004 | PanCK	DSP-1001250007864-D-F08	29351.52456	213	35178	-30990	5904858	5855770	5807468	5510965	395800	93.29704457	0.9944	0.9937	normal	NA	tubule	16.32204918	0.820809975	7099	-6776
normal4	normal4_scan	5	PanCK	normal4_scan | 005 | PanCK	DSP-1001250007864-D-F10	12287.30771	84	27892	-19058	5365533	5321402	5279107	5018627	428839	92.00752283	0.9944	0.9937	normal	NA	tubule	19.45201558	0.718208728	5270	-3809
normal4	normal4_scan	11	Geometric Segment	normal4_scan | 011 | Geometric Segment	DSP-1001250007864-D-G06	14595.23263	100	24764	-34531	1812591	1797785	1783912	1698497	236968	86.92655983	0.9943	0.9935	normal	healthy	glomerulus	14.89111812	1.231214962	4493	-7672
normal4	normal4_scan	17	Geometric Segment	normal4_scan | 017 | Geometric Segment	DSP-1001250007864-D-G12	14750.3208	100	31130	-32056	780290	774451	768703	730074	127051	83.71746402	0.9946	0.9938	normal	abnormal	glomerulus	7.206564422	2.154626183	6082	-7055
disease3	disease3_scan	1	PanCK	disease3_scan | 001 | PanCK	DSP-1001250007864-D-H01	22152.10924	183	23572	-39228	7485137	7423555	7364647	6981003	729971	90.24772693	0.9944	0.9937	DKD	NA	tubule	36.23893998	0.400860685	4236	-8628
disease3	disease3_scan	1	neg	disease3_scan | 001 | neg	DSP-1001250007864-D-H02	71817.92407	421	23572	-39228	11365209	11264938	11163492	10486650	1213754	89.32044277	0.9943	0.9935	DKD	NA	tubule	62.92290087	0.246242992	4236	-8628
disease3	disease3_scan	3	neg	disease3_scan | 003 | neg	DSP-1001250007864-D-H06	85148.24407	490	26308	-51612	9362879	9287046	9212501	8666469	900719	90.37989277	0.9945	0.9938	DKD	NA	tubule	41.58222868	0.331480951	4910	-11731
disease3	disease3_scan	4	neg	disease3_scan | 004 | neg	DSP-1001250007864-D-H08	87237.4963	758	17325	-23304	12560668	12469636	12377552	11713515	1280058	89.80899742	0.9949	0.9942	DKD	NA	tubule	58.66622855	0.23293256	2671	-4634
disease1B	disease1B_scan	15	Geometric Segment	disease1B_scan | 015 | Geometric Segment	DSP-1001250007868-B-A02	17343.44165	103	38233	-28514	2412414	2377865	2344570	2176893	41756	98.26911965	0.9886	0.9869	DKD	healthy	glomerulus	3.295911057	5.745669823	7840	-5912
disease1B	disease1B_scan	16	Geometric Segment	disease1B_scan | 016 | Geometric Segment	DSP-1001250007868-B-A03	27363.79128	196	28961	-21908	2485803	2444386	2409599	2277760	48682	98.04159863	0.9878	0.9859	DKD	healthy	glomerulus	3.797951792	5.745669823	5518	-4255
disease1B	disease1B_scan	19	Geometric Segment	disease1B_scan | 019 | Geometric Segment	DSP-1001250007868-B-A06	23376.81893	130	31143	-21434	1075280	1055546	1039862	987389	21249	98.02386355	0.9873	0.9855	DKD	abnormal	glomerulus	2.565715283	8.618504734	6064	-4144
disease2B	disease2B_scan	6	PanCK	disease2B_scan | 006 | PanCK	DSP-1001250007868-B-C01	11634.6114	118	33047	-28488	4262545	4160072	4085803	3922861	84706	98.01278344	0.9844	0.9813	DKD	NA	tubule	4.977680245	3.447401894	6538	-6375
disease2B	disease2B_scan	6	neg	disease2B_scan | 006 | neg	DSP-1001250007868-B-C02	74251.72446	269	33047	-28488	12986143	12575002	12268658	11789782	262426	97.97918443	0.983	0.9788	DKD	NA	tubule	15.2488022	1.149133965	6538	-6375
disease2B	disease2B_scan	7	neg	disease2B_scan | 007 | neg	DSP-1001250007868-B-C04	81639.24626	216	35767	-29674	11800240	11605913	11453046	10963200	267543	97.73273255	0.9879	0.9859	DKD	NA	tubule	15.71394447	1.149133965	7219	-6633
disease2B	disease2B_scan	10	PanCK	disease2B_scan | 010 | PanCK	DSP-1001250007868-B-C09	12227.74908	110	24212	-41699	8580871	8454122	8351594	7995200	149651	98.25599289	0.9885	0.9869	DKD	NA	tubule	9.01771719	1.915223274	4332	-9688
disease2B	disease2B_scan	20	Geometric Segment	disease2B_scan | 020 | Geometric Segment	DSP-1001250007868-B-D09	25241.12579	133	17904	-39033	8621755	8461645	8335235	7993548	150700	98.25209601	0.9866	0.9845	DKD	abnormal	glomerulus	12.52874753	1.915223274	2756	-9002
disease2B	disease2B_scan	22	Geometric Segment	disease2B_scan | 022 | Geometric Segment	DSP-1001250007868-B-D11	37763.20545	184	36933	-24479	6971428	6865618	6781968	6509359	113945	98.3655429	0.9879	0.9859	DKD	abnormal	glomerulus	10.13009582	2.462429924	7510	-5364
normal2B	normal2B_scan	8	neg	normal2B_scan | 008 | neg	DSP-1002510007866-C-E01	60662.63648	177	10130	-18367	4974802	4930233	4887947	4635085	579196	88.35740598	0.9941	0.9932	normal	NA	tubule	30.6588013	0.556032563	815	-3601
normal2B	normal2B_scan	11	PanCK	normal2B_scan | 011 | PanCK	DSP-1002510007866-C-E06	11468.341	93	24847	-36034	2697322	2676981	2655691	2506133	229024	91.50920802	0.9949	0.9941	normal	NA	tubule	12.25009664	1.325923805	4490	-8042
normal2B	normal2B_scan	12	PanCK	normal2B_scan | 012 | PanCK	DSP-1002510007866-C-E08	12457.96963	106	22111	-37286	3545771	3517781	3491219	3293852	288967	91.85037612	0.9947	0.994	normal	NA	tubule	15.98905042	1.077313092	3810	-8309
normal2B	normal2B_scan	13	Geometric Segment	normal2B_scan | 013 | Geometric Segment	DSP-1002510007866-C-E10	24103.1328	151	17830	-38633	2804345	2778674	2756849	2616437	262113	90.65332546	0.9941	0.9934	normal	healthy	glomerulus	15.90703759	1.149133965	2738	-8674
normal2B	normal2B_scan	17	Geometric Segment	normal2B_scan | 017 | Geometric Segment	DSP-1002510007866-C-F02	23616.15238	146	12276	-25181	1977220	1956093	1934406	1837344	298154	84.92054501	0.9939	0.993	normal	healthy	glomerulus	16.55902737	1.013941733	1345	-5309
normal2B	normal2B_scan	19	Geometric Segment	normal2B_scan | 019 | Geometric Segment	DSP-1002510007866-C-F04	26071.99817	139	15427	-32237	2375030	2355176	2336035	2216206	270733	88.60085978	0.9944	0.9936	normal	abnormal	glomerulus	16.77373197	1.077313092	2139	-7075
normal2B	normal2B_scan	20	Geometric Segment	normal2B_scan | 020 | Geometric Segment	DSP-1002510007866-C-F05	17504.11641	89	15142	-31899	1909449	1895120	1880011	1784443	212292	88.88202827	0.9948	0.9941	normal	abnormal	glomerulus	15.30570628	1.436417456	2066	-6987
normal2B	normal2B_scan	21	Geometric Segment	normal2B_scan | 021 | Geometric Segment	DSP-1002510007866-C-F06	14347.53681	76	8770	-32088	950470	942776	934941	878966	109779	88.45002999	0.9948	0.994	normal	abnormal	glomerulus	7.265050152	2.462429924	471	-7039
disease1B	disease1B_scan	8	neg	disease1B_scan | 008 | neg	DSP-1002510007866-C-H01	70102.79835	239	30152	-19493	2199371	2180883	2164892	2046677	317985	85.54200269	0.9945	0.9937	DKD	NA	tubule	23.86157637	0.957611637	5816	-3672
disease1B	disease1B_scan	10	PanCK	disease1B_scan | 010 | PanCK	DSP-1002510007866-C-H05	24825.60967	225	11177	-11306	2214794	2194358	2174069	2062259	328886	85.15049255	0.9943	0.9936	DKD	NA	tubule	19.92674456	0.907211025	1070	-1589
